,country,num_business_2018,renew_ratio_2017,gdp_2017,gdp_2018,population_2017,population_2018,gdp_per_capita_2017,gdp_per_capita_2018,renew_ratio_2018,debt_gdp_ratio_2017,debt_gdp_ratio_2018
53,Romania,884287,0.16515528190664122,211406933991.363,239552516744.469,19587491.0,19473936.0,10792.9562796666,12301.186403430154,0.1780136801920415,0.36778,0.37185
54,Russia,2965983,0.06103640546761111,1578624060588.26,1657553765580.67,144496740.0,144478050.0,10924.980456917297,11472.70305475932,0.060376219755479715,0.1553,0.1533
55,Saudi Arabia,6836,0.00012212312378085725,688586133333.333,782483466666.667,33099147.0,33699947.0,20803.742565732373,23219.13048310334,0.0001352051849626528,0.17206,0.19390000000000002
56,Singapore,417739,0.002777750696870297,338406474038.67,364156657769.87,5612253.0,5638676.0,60297.79378062072,64581.94401839545,0.0030672084032691005,1.11105,1.1284999999999998
57,Slovenia,178478,0.14689197357725456,48455919386.0505,54235484383.0673,2066388.0,2067372.0,23449.57451652376,26234.022896250553,0.17007164174032513,0.73617,0.6965399999999999
58,South Africa,262294,0.021365141719239502,349268114386.875,368288203086.63,57000451.0,57779622.0,6127.462296515426,6374.015445906344,0.02472798489040219,0.5304,0.55728
59,Spain,3452690,0.14409617713418812,1314314164402.2,1426189137596.58,46593236.0,46723749.0,28208.26105321811,30523.859239047364,0.16981939710607866,0.9836399999999998,0.97154
60,Sri Lanka,2283,0.13330472711494082,88019706803.834,88900770857.6351,21444000.0,21670000.0,4104.630983204346,4102.481350144675,0.19602393617737146,0.7910200000000001,0.78004
61,Sweden,1290949,0.39597882493614506,535607385506.432,551031682226.344,10057698.0,10183175.0,53253.47664111927,54111.97217236707,0.3851025189469503,0.40838,0.37911
62,Switzerland,672173,0.31896658575287656,678965423322.021,705501304688.699,8451840.0,8516543.0,80333.44494477191,82838.92944457616,0.3174366519139889,0.41814999999999997,0.40155
63,Thailand,556189,0.034155429529188944,455275517239.347,504992757704.997,69209858.0,69428524.0,6578.188864935209,7273.5632073209135,0.043275614738144334,0.41881999999999997,0.41924999999999996
64,Trinidad and Tobago,889,5.920909008181689e-05,22250455018.8067,23410353434.6523,1384072.0,1389858.0,16076.082038222507,16843.70161171307,5.91451242057635e-05,0.41777000000000003,0.42652
65,Turkey,324554,0.12968103884237442,851549231502.615,766509088837.579,81101892.0,82319724.0,10499.745573168811,9311.366117281674,0.14365931121910355,0.28261,0.32332
66,Turkmenistan,68,5.48958466226622e-05,37926285714.2857,40761142857.1429,5757669.0,5850908.0,6587.090316286973,6966.635410630777,4.998886247900504e-05,0.2882,0.30865
67,Ukraine,1008601,0.028902148988746094,112190355158.178,130832374404.882,44831135.0,44622516.0,2502.509810607695,2931.981119237696,0.03387656880910785,0.70997,0.70481
68,United Arab Emirates,31622,0.0011196029962917636,382575085091.899,414178897208.986,9487203.0,9630959.0,40325.382000564234,43004.94864623409,0.0019231097384604246,0.19747,0.17809999999999998
69,United States,17416250,0.07288442485464333,19485393853000.0,20494100000000.0,325147121.0,327167434.0,59927.92983395354,62641.01456992813,0.07361763451203612,1.05199,1.061414
70,Uzbekistan,379,0.03865904284391184,59159949231.4924,50499920318.2926,32388600.0,32955400.0,1826.567039992232,1532.3716391939593,0.03554861727509976,0.24259,0.19224
71,Venezuela,2894,0.2454494466298545,,,29390409.0,28870195.0,,,0.25347861881883826,0.38955999999999996,1.59023
72,Vietnam,698177,0.21340955751711985,223779865815.183,244948445308.883,94596642.0,95540395.0,2365.6216656737456,2563.82073058085,0.2150458755282592,0.58489,0.5781399999999999
