country,year,co2,mtoe,renewables,nuclear,renew_ratio,emission_ratio
Finland,2005,59.41668957955736,30.31316701090829,2.1836388840590564,5.3249190768930665,0.07203598631819852,1.9600950820538174
Finland,2006,69.57623349997021,32.54710029665285,2.469278992385266,5.240911483578422,0.07586786441430567,2.137709131253252
Finland,2007,67.45425842652668,32.52303013806294,2.2899488618364647,5.35943197814425,0.07041007102091788,2.0740459342250026
Finland,2008,60.02321181964288,31.443747600384935,2.4111108199970155,5.251891778593464,0.0766801352892013,1.9089076970872287
Finland,2009,57.38792029340591,29.252078635014875,2.0420145149496496,5.383155131799306,0.06980750121823304,1.9618407638461735
Finland,2010,65.51580210299554,31.873184254453218,2.552204038176193,5.213615565818689,0.08007370765974245,2.0555148045442584
Finland,2011,57.61691836923448,29.709065520997456,2.640526339607918,5.303291944846087,0.08887948150848687,1.9393716146511781
Finland,2012,51.45221291737362,28.8498456388064,2.6250765166979257,5.255011992578216,0.09099100735453823,1.7834484649084017
Finland,2013,52.908214073567045,29.113176855240596,2.878859478424096,5.400471128493309,0.09888510253410834,1.8173287764726769
Finland,2014,48.460767481482925,28.12437469662533,2.9014036199246083,5.393921060968067,0.10316331122813373,1.7230878198795216
Finland,2015,44.68967102953773,27.988314647127446,3.089921708829269,5.317702093401619,0.11040042059647204,1.596726047744515
Finland,2016,48.1638235413943,28.751848176845126,3.2831415552956855,5.306769435241306,0.1141888874447979,1.6751557411249243
Finland,2017,45.35603566852252,28.088529878229814,3.7735677384165176,5.138587519620466,0.1343455052569784,1.6147529210375655
Finland,2018,46.56788653709123,29.266528737073585,4.272273206889257,5.213615565818689,0.14597813240069446,1.591165353276114
France,1965,328.3162714883915,111.31855004291072,0.0,0.23900000000000002,0.0,2.949340171623087
France,1966,329.2314413525272,113.87552231845031,0.0882472733855271,0.363,0.0007749450592089985,2.8911519758551707
France,1967,354.54734278179274,121.57061357102799,0.13689641127754845,0.661,0.0011260649860713775,2.9163901733098303
France,1968,368.1743723684856,128.13349509219103,0.20953070552563613,0.801,0.0016352531816515303,2.873365563809737
France,1969,403.7740546032342,141.47025921147795,0.24143548898040362,1.122,0.001706616573166038,2.85412677444557
France,1970,432.1233232282401,153.2956052354603,0.31005245055889813,1.2922568674480648,0.0020225788605137186,2.818889181881657
France,1971,451.5415447092243,159.60380640452874,0.31493469701769344,2.110920034393801,0.0019732279831689353,2.829140199606241
France,1972,474.99219887196057,170.6230503647346,0.34285090736298907,3.301579399918528,0.0020094055675952886,2.7838688726792027
France,1973,515.3891600334398,185.42716689579657,0.3507458931076603,3.3377834095125904,0.0018915561240536395,2.7794695279094137
France,1974,496.7281007802653,181.83909669826016,0.35684916504502734,3.328506132054112,0.0019624446641261922,2.731690322926126
France,1975,454.90357501612743,171.03293532389645,0.3203794406480505,4.129067294202817,0.0018732031935330272,2.659742546981646
France,1976,502.2363687524912,182.56219694204398,0.30160202742453607,3.5701678960944783,0.0016520508214539198,2.7510425332574777
France,1977,483.2043185919391,184.19684420145495,0.31103348870887326,4.05960085079421,0.0016885929292507198,2.6233040022306873
France,1978,499.95120705795574,192.55204416924028,0.3209458523781496,6.890528125989926,0.001666800546121753,2.596447153884964
France,1979,508.6437270347319,198.1914838259781,0.33579449699054037,9.041951396117085,0.0016942932688539963,2.5664257475429477
France,1980,484.23299769891963,195.28095913188503,0.3328559306693203,13.859573697786976,0.0017044976230607438,2.4796733888012494
France,1981,441.3952776763151,192.5050606245794,0.3376368964112762,23.832646965651353,0.001753911794920191,2.292902203423721
France,1982,417.9104531486026,185.23433512105706,0.3455989500837204,24.645653256098015,0.0018657391452716339,2.2561176515978185
France,1983,401.03181895843034,189.34576063341416,0.35269493596415663,32.64266642530647,0.0018627031034880006,2.1179867857451233
France,1984,386.00881566676065,195.14574442428065,0.3670860297777965,43.27148481694331,0.0018810865225925085,1.978053976045261
France,1985,380.8675414119597,201.26613776861586,0.3738403403176887,50.70824093768365,0.001857442809120089,1.8923577787825454
France,1986,370.23951897032464,205.86099603942685,0.3762501697062935,57.50893786486831,0.0018276904170532306,1.7984927989924606
France,1987,362.55037053143036,209.3653880455112,0.3961171199710352,60.08055392134655,0.0018919895197047972,1.7316633561829249
France,1988,358.4332283754291,211.90482190617595,0.4012422500791947,62.34353079603542,0.0018935022170323745,1.6914821718126396
France,1989,370.3342984448417,214.93176891333633,0.41667420916866377,68.77200524958111,0.0019386348108300035,1.7230319199306734
France,1990,369.6670179694294,221.3732946989784,0.4329256292709401,71.06869710820445,0.0019556362020072423,1.6698808158956102
France,1991,392.011919337495,235.34006006436238,0.4757409612164528,74.97397836810397,0.002021504375780069,1.665725415512705
France,1992,381.189197674575,236.9345871871995,0.4833184604244901,76.5816626691403,0.002039881412681321,1.608837283741109
France,1993,364.258764055977,236.58846214971328,0.4475913427162041,83.31176177761654,0.0018918561735819903,1.539630296195399
France,1994,350.29211985028803,233.32055471582328,0.4895647599221594,81.45472236050111,0.002098249597076576,1.5013341635370798
France,1995,356.14686022082594,238.91895189392181,0.5285229216635722,85.35796714486095,0.002212143145087261,1.4906597295762138
France,1996,373.2898828511767,247.9790645726163,0.5505454360320384,89.9081323256547,0.0022201286910283544,1.5053282158900367
France,1997,362.2260976511777,244.5930256470205,0.6085747386523033,89.48793953930362,0.002488111576535938,1.480933876560802
France,1998,385.0347154739582,250.57586123556197,0.6056445897633138,87.7924605150017,0.0024170109075030096,1.5365993898031296
France,1999,384.6333711702119,254.7446042617646,0.6549513350228512,89.20758474000961,0.002571011609532861,1.5098783830372289
France,2000,381.8751054075704,257.9099031770674,0.6877004231343593,93.94080644431334,0.0026664366690185614,1.4806531300405126
France,2001,383.5376248363173,261.6303342782073,0.7854370502783152,95.27899714893387,0.0030020870953102585,1.465952432061944
France,2002,380.15104244324533,259.7372607798591,0.861905111553601,98.82789518939184,0.0033183729934077905,1.4635984121101637
France,2003,387.11417603911434,263.2221090322312,0.9306166674209132,99.80314069783189,0.0035354806282893226,1.4706750031841465
France,2004,389.10046331143707,266.1109512912608,0.9923175055437351,101.42575915282578,0.003728961550543761,1.4621738091701577
France,2005,389.9576520356053,265.4641432298297,1.0961896999592662,102.16975154998376,0.004129332446266474,1.4689654402703773
France,2006,380.2687518689606,263.98707511359964,1.3655487283341576,101.86699551975342,0.005172786310642409,1.4404824618982663
France,2007,371.16733471543125,260.2142184863401,1.8789880979318387,99.49993211748162,0.0072209278526817935,1.4263914434595573
France,2008,371.0705980466421,261.8696976924968,2.3016699099425173,99.43589627551212,0.00878937093609539,1.4170047214946404
France,2009,356.25863028533,248.00447768111763,2.865547359370039,92.7130379689547,0.011554417832143091,1.436500798761403
France,2010,361.49118937951357,256.0482967764699,3.503190478345463,96.96361497035758,0.013681756615642506,1.4118086077139396
France,2011,334.9005841951503,246.8762590220768,4.437253925872273,100.10137122686298,0.01797359512595123,1.3565524101902484
France,2012,336.2796458901584,247.2688792317175,5.503235733357448,96.25876815857318,0.02225607909275281,1.3599756141371444
France,2013,336.0036396586638,250.12347109428754,5.918450468389352,95.86934878037705,0.0236621155243696,1.3433510985140718
France,2014,302.2623165721004,240.3555392037717,6.557451237724552,98.76431189754226,0.02728229713135586,1.2575633479195358
France,2015,310.48824416717764,241.88012600373224,7.911481196542486,98.97904692944705,0.03270827300801228,1.2836451232970945
France,2016,315.31876374815505,238.39912413776983,8.417205955559545,91.23297280173743,0.03530720167702998,1.3226506804023899
France,2017,321.39017863862995,237.47770932903333,9.384660716296112,90.13800818165326,0.03951806989721865,1.3533488239661815
France,2018,311.76007103219814,242.59628190740594,10.600373596570888,93.4905429095913,0.043695531989302434,1.2850983064579309
Germany,1965,909.7163932916623,254.86210033713053,0.0,0.031,0.0,3.569445563260654
