,country,production_growth_rate_2017,renew_ratio_2017,gdp_2017,gdp_2018,population_2017,population_2018,gdp_per_capita_2017,gdp_per_capita_2018,renew_ratio_2018,debt_gdp_ratio_2017,debt_gdp_ratio_2018
27,Turkey,97.0,0.043036367802029,851549231502.615,766509088837.579,81101892.0,82319724.0,10499.745573168811,9311.366117281674,0.05555942436916708,0.28261,0.32332
28,Greece,101.0,0.07941049010658739,203085551429.132,218031844583.994,10754679.0,10727668.0,18883.460066928263,20324.25356414777,0.08299230481638427,1.8177900000000002,1.8806400000000003
29,Lithuania,106.0,0.0744252034897103,47544459558.9514,53251369047.3762,2828403.0,2789533.0,16809.64825696741,19089.707505656395,0.06559796171969104,0.39734,0.36955999999999994
30,Morocco,108.0,0.03899699099588126,109708728848.535,118495328198.08,35581294.0,36029138.0,3083.32599844556,3288.874915577497,0.05163101079378482,0.65132,0.6441199999999999
31,Spain,109.0,0.11334233189490177,1314314164402.2,1426189137596.58,46593236.0,46723749.0,28208.26105321811,30523.859239047364,0.11322819343703475,0.9836399999999998,0.97154
32,Cyprus,110.0,0.0351806452749841,22141864998.8731,24469841831.9169,1179680.0,1189265.0,18769.382373926066,20575.600755018353,0.03769560538139957,0.97454,1.1230200000000001
33,Netherlands,111.0,0.04651810554516282,831809944960.879,913658465709.125,17131296.0,17231017.0,48554.99227617566,53024.05921305312,0.049708077942078925,0.5645,0.53099
34,Sweden,114.0,0.1244748883747299,535607385506.432,551031682226.344,10057698.0,10183175.0,53253.47664111927,54111.97217236707,0.12259957405454645,0.40838,0.37911
35,New Zealand,115.0,0.10865718756845087,202590814084.991,205024937871.546,4793900.0,4885500.0,42260.12517678529,41966.00918463739,0.10892966128596528,0.31695999999999996,0.30357
36,Argentina,116.0,0.007914397313299827,642695864756.35,518475134084.357,44044811.0,44494502.0,14591.863381054127,11652.56628974872,0.010156858864824909,0.57576,0.6270399999999999
37,Latvia,117.0,0.05904176013248719,30463302413.7289,34849078085.6672,1942248.0,1926542.0,15684.558518648957,18088.927251867437,0.0668235515945464,0.36315,0.35005000000000003
38,Iceland,118.0,0.21397243279702552,24489493459.0074,25882218777.4084,343400.0,353574.0,71314.77419629412,73201.70254998501,0.24221359223203856,0.39958,0.37022
39,Ecuador,126.0,0.007357336573774888,104295862000.0,108398058000.0,16785361.0,17084357.0,6213.501276499207,6344.871978500566,0.007011798645004464,0.45363,0.48373999999999995
40,Romania,130.0,0.06639952247100712,211406933991.363,239552516744.469,19587491.0,19473936.0,10792.9562796666,12301.186403430154,0.05848877106757922,0.36778,0.37185
41,France,132.0,0.03951806989721865,2586285406561.51,2777535239277.98,66865144.0,66987244.0,38679.12714824198,41463.644022703484,0.043695531989302434,0.96801,0.9668799999999999
42,Switzerland,135.0,0.030752330853140705,678965423322.021,705501304688.699,8451840.0,8516543.0,80333.44494477191,82838.92944457616,0.033063618525729616,0.41814999999999997,0.40155
43,Trinidad and Tobago,136.0,5.920909008181689e-05,22250455018.8067,23410353434.6523,1384072.0,1389858.0,16076.082038222507,16843.70161171307,5.9145124205763517e-05,0.41777000000000003,0.42652
44,Denmark,137.0,0.2881928668668248,329865553842.833,352058410508.345,5764980.0,5797446.0,57218.854851679105,60726.46653515099,0.2796459770793803,0.35294000000000003,0.34739000000000003
45,United States,144.0,0.0425327270251584,19485393853000.0,20494100000000.0,325147121.0,327167434.0,59927.92983395354,62641.01456992813,0.045097279771601176,1.05199,1.061414
46,Belgium,149.0,0.05492276524948608,494901708704.269,531766935070.733,11375158.0,11422068.0,43507.23820313256,46556.09956714782,0.06137352248472167,1.03423,1.01195
47,Ireland,150.0,0.11816703988435437,334834010485.56,382487490532.479,4807388.0,4853506.0,69649.88273997439,78806.43199626806,0.13571538176552733,0.6855500000000001,0.66577
48,Japan,154.0,0.049117212509244085,4859950558538.97,4970915556638.88,126785797.0,126529100.0,38331.979397810384,39286.73764880079,0.05587026607214692,2.3764700000000003,2.38225
49,Germany,155.0,0.13294969539940005,3693204332229.78,3996759291057.81,82657002.0,82927922.0,44681.08258063582,48195.57990441157,0.14614475926752565,0.63852,0.5978600000000001
50,Chile,156.0,0.08536700753448256,277746457909.868,298231139609.448,18470439.0,18729160.0,15037.35010899676,15923.359061989326,0.08772175689775709,0.23596999999999999,0.24759
51,Russia,160.0,0.00037254851593886606,1578624060588.26,1657553765580.67,144496740.0,144478050.0,10924.980456917297,11472.70305475932,0.0003966058181652673,0.1553,0.1533
52,Norway,163.0,0.014748300931400678,399488897844.046,434750937596.065,5276968.0,5314336.0,75704.24869812476,81807.19803867595,0.01966912393200812,0.36461999999999994,0.36358
53,Portugal,164.0,0.1465049552335561,219308126633.628,237978938135.341,10300300.0,10281762.0,21291.430990711728,23145.73495625954,0.14912888850948444,1.25682,1.20825
54,Australia,165.0,0.04137537557520341,1330803227996.08,1432195178668.32,24601860.0,24992369.0,54093.60219089451,57305.29901620451,0.049992187848534535,0.40806999999999993,0.40513000000000005
55,Turkmenistan,168.0,5.48958466226622e-05,37926285714.2857,40761142857.1429,5757669.0,5850908.0,6587.090316286973,6966.635410630777,4.998886247900504e-05,0.2882,0.30865
56,Algeria,170.0,0.002227481992276444,167555280113.181,180689115940.685,41389198.0,42228429.0,4048.2852582256123,4278.850059534182,0.002445719369343658,0.27454999999999996,0.32881
57,Italy,171.0,0.098032689069254,1946570340341.13,2073901988878.23,60536709.0,60431283.0,32155.20586593384,34318.35112417239,0.09669229513371286,1.31808,1.30281
58,Iraq,173.0,0.0002745557731268916,193158783783.784,225914183047.981,37552781.0,38433600.0,5143.66123200793,5878.038566462184,0.0002405668354084716,0.59726,0.51771
59,United Kingdom,175.0,0.10939181150260352,2637866340434.13,2825207947502.9,66058859.0,66488991.0,39932.06029238455,42491.36443509723,0.12429536894078222,0.8752500000000001,0.8737999999999999
60,South Africa,182.0,0.019739870228340808,349268114386.875,368288203086.63,57000451.0,57779622.0,6127.462296515426,6374.015445906344,0.02301686611531166,0.5304,0.55728
61,Oman,183.0,6.717923489912615e-05,70783875162.5488,79294928478.5436,4665935.0,4829483.0,15170.351743551677,16418.926928315846,0.00010114937166762889,0.46903,0.48698
62,Luxembourg,184.0,0.03061560240336848,62316359824.1281,69487922619.3401,596336.0,607728.0,104498.73867103126,114340.49874177281,0.03692647967745513,0.22949999999999998,0.22804000000000002
63,Mexico,185.0,0.022867379693905985,1158071006809.62,1223808885585.61,124777324.0,126190788.0,9281.101482907425,9698.084186506627,0.025848762128574603,0.54332,0.53815
64,United Arab Emirates,187.0,0.0011196029962917636,382575085091.899,414178897208.986,9487203.0,9630959.0,40325.382000564234,43004.94864623409,0.0019231097384604246,0.19747,0.17809999999999998
65,Saudi Arabia,188.0,0.00012212312378085728,688586133333.333,782483466666.667,33099147.0,33699947.0,20803.742565732373,23219.13048310334,0.0001352051849626528,0.17206,0.19390000000000002
66,Kuwait,190.0,0.000617476363922808,119551599076.822,141677814569.536,4056097.0,4137309.0,29474.541431534308,34243.95290985904,0.0006133680279593847,0.20584,0.18792999999999999
67,Venezuela,192.0,3.076524323545073e-05,,,29390409.0,28870195.0,,,3.503347743619298e-05,0.38955999999999996,1.59023
68,Colombia,195.0,0.009915679584851513,311789874617.096,330227866233.324,48901066.0,49648685.0,6375.932062853109,6651.29129267621,0.01033467864460157,0.49354,0.48695
69,Azerbaijan,201.0,0.002284741534181591,40865558912.3867,46939529411.7647,9854033.0,9942334.0,4147.089715691707,4721.1780867314155,0.003183648272929475,0.54084,0.48350000000000004
70,Qatar,202.0,0.0005738417805515928,166928571428.571,192009340659.341,2724724.0,2781677.0,61264.39647779776,69026.46880257521,0.0005810102105996171,0.53767,0.53402
